"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"190" 190 694944 4572 152 "Médio" 1 2 2 1 "N" "Nao" "Sim" 907 4532 1221 6276 1797 "Trindade" 744536 6946076
"191" 191 1299980 11818 110 "Alto" 2 2 3 1 "SM" "Nao" "Nao" 668 1050 6937 1836 7196 "Centro" 742431 6945863
"192" 192 535040 5632 95 "Baixo" 0 3 2 1 "MO" "Nao" "Sim" 720 2292 8170 2293 8429 "Centro" 741257 6945309
"193" 193 879954 8627 102 "Alto" 1 2 3 1 "SM" "Nao" "Sim" 113 181 6159 1999 6418 "Centro" 742421 6946540
"194" 194 849968 7589 112 "Alto" 1 3 3 1 "MO" "Sim" "Sim" 598 1285 7160 1511 7419 "Centro" 742170 6945826
"195" 195 457878 6834 67 "Médio" 1 3 2 2 "N" "Nao" "Nao" 1060 1976 7572 818 4808 "Centro" 742254 6945360
"196" 196 441000 7350 60 "Médio" 0 1 2 0 "MO" "Nao" "Sim" 379 1271 7159 1198 7418 "Centro" 741620 6945842
"197" 197 748974 8709 86 "Alto" 1 2 1 1 "SM" "Sim" "Sim" 583 981 6868 1767 7127 "Centro" 742345 6945919
"198" 198 849873 7521 113 "Baixo" 2 3 3 1 "SM" "Nao" "Nao" 644 1480 7433 1356 7692 "Centro" 742032 6945719
"199" 199 1350079 7459 181 "Alto" 2 1 4 1 "SM" "Nao" "Nao" 478 1062 6949 1848 7208 "Centro" 742308 6946017
"200" 200 1290000 10000 129 "Médio" 2 3 3 1 "MO" "Nao" "Nao" 99 1791 7669 2499 7928 "Centro" 740816 6945883
"201" 201 779960 5270 148 "Médio" 1 2 3 1 "N" "Nao" "Nao" 210 618 6505 2092 6764 "Centro" 742293 6946303
"202" 202 1180015 10261 115 "Alto" 1 3 3 1 "MO" "Sim" "Sim" 389 1855 7733 3920 7992 "Centro" 741100 6945670
"203" 203 1049997 9633 109 "Médio" 2 3 3 1 "SM" "Nao" "Nao" 604 1992 7880 1210 8139 "Centro" 741968 6945735
"204" 204 1400000 17500 80 "Alto" 2 3 3 3 "N" "Sim" "Sim" 726 2380 8258 2381 8517 "Centro" 741501 6945448
"205" 205 770032 11324 68 "Médio" 1 2 2 1 "N" "Nao" "Nao" 394 2404 8282 3111 8541 "Centro" 740953 6945523
"206" 206 2799930 14070 199 "Médio" 3 4 3 3 "MO" "Sim" "Sim" 100 1045 6920 1752 7179 "Centro" 741540 6946110
"207" 207 889900 8090 110 "Médio" 2 3 3 1 "SM" "Nao" "Nao" 349 606 6493 1958 6752 "Centro" 742383 6946193
"208" 208 613149 10757 57 "Alto" 1 1 2 0 "N" "Sim" "Nao" 261 412 6099 2156 6358 "Agronomica" 742617 6946629
"209" 209 799000 8500 94 "Médio" 2 2 3 1 "N" "Nao" "Sim" 192 2828 2529 4572 3700 "Agronomica" 744074 6947309
"210" 210 689986 8734 79 "Médio" 2 3 2 1 "SM" "Sim" "Sim" 198 1189 5321 2933 5580 "Agronomica" 742739 6947285
"211" 211 1136956 10726 106 "Alto" 2 2 3 1 "N" "Sim" "Sim" 202 1243 5376 2987 5635 "Agronomica" 742812 6947350
"212" 212 950053 8879 107 "Médio" 2 3 3 3 "N" "Sim" "Sim" 407 2465 3216 4209 4387 "Agronomica" 743518 6947383
"213" 213 2300100 10455 220 "Alto" 2 4 4 2 "SM" "Nao" "Nao" 124 365 6051 2109 6310 "Agronomica" 742488 6946684
"214" 214 375013 4747 79 "Baixo" 1 1 2 0 "N" "Nao" "Sim" 1775 5593 1920 5807 843 "Trindade" 744742 6945231
"215" 215 680021 5191 131 "Médio" 2 2 2 1 "MO" "Nao" "Nao" 1294 5051 2333 6795 1256 "Trindade" 744589 6945695
"216" 216 679952 6071 112 "Médio" 2 2 3 2 "SM" "Nao" "Sim" 1771 5755 1992 4302 915 "Trindade" 744521 6945211
"217" 217 684886 9382 73 "Alto" 1 2 2 1 "MO" "Nao" "Sim" 812 4877 1566 6621 1844 "Trindade" 744289 6946183
"218" 218 329976 4583 72 "Baixo" 1 2 2 0 "N" "Nao" "Nao" 1079 5138 1827 6882 2105 "Trindade" 744125 6945949
"219" 219 989985 10645 93 "Alto" 2 2 3 1 "SM" "Sim" "Sim" 255 3437 2412 5181 2539 "Trindade" 744262 6946801
"220" 220 350035 4795 73 "Baixo" 1 2 3 0 "N" "Nao" "Nao" 1361 5299 2546 7043 1469 "Trindade" 744825 6945674
"221" 221 619990 7045.34090909091 88 "Alto" 1 2 3 1 "SM" "Nao" "Sim" 902 4760 1449 6504 1727 "Trindade" 744400 6946079
"222" 222 875022 10671 82 "Alto" 2 2 2 1 "SM" "Sim" "Sim" 1630 5605 1366 6316 1352 "Trindade" 745021 6945457
"223" 223 870010 9158 95 "Alto" 2 3 4 2 "N" "Sim" "Nao" 1647 5627 1385 6338 1374 "Trindade" 744960 6945417
"224" 224 542997 8619 63 "Médio" 1 1 2 1 "N" "Nao" "Sim" 718 4981 1670 6725 1948 "Trindade" 744290 6946279
"225" 225 650040 5417 120 "Baixo" 1 3 3 2 "SM" "Nao" "Sim" 1951 6521 1790 5106 713 "Trindade" 744472 6945030
